ID,Category,Question,Answer,Link to resource
20,Thesis,What is the requirement for registering a Specialized Project?,Students must accumulate at least 70% of the total credits of their training program.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
21,Thesis,How many credits are needed to register for a Graduation Thesis?,Students must accumulate at least 82.5% of the program's credits.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
22,Thesis,Is social work required to register for a graduation thesis?,"Yes, students must complete at least 70% of the student training program, equivalent to 10.5 days of social work.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
23,Thesis,What GPA is needed to register for graduation modules from 2025?,An accumulated GPA of 2.0 or higher is required starting from Semester 1 of the 2025-2026 academic year.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
24,Checking Status,Where can students check their graduation conditions?,Students can check updated standards and graduation conditions at MyBK under the Training Program section.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
25,Exam Postponement,Who is eligible to postpone an exam?,It is only applicable to students who are absent with a valid reason during an exam that has a specific scheduled date on MyBK.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
26,Exam Postponement,Can I postpone an exam if it has no specific scheduled date?,"No, courses without specific exam dates are evaluated directly by the Department, and postponement is not allowed.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
27,Exam Postponement,Where do students apply for an exam postponement?,Students must register via the MyBK application under Student Services by selecting Exam Postponement.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
28,Exam Postponement,What is the deadline to register for postponing an exam?,Registration must be completed within 5 working days from the test or exam date.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
29,Exam Postponement,Is proof required for postponing an exam?,"Yes, students must submit evidence for their reason via the app for the Testing and Quality Assurance Office to verify.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
30,Exam Postponement,What happens after a midterm exam postponement is approved?,Students must contact their instructor within 7 working days of the decision to schedule a makeup test.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
31,Exam Postponement,How can I clear a postponed final exam score?,You must register to take the exam in the same semester or subsequent semesters within a maximum of 1 year.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
32,Exam Postponement,What happens if I fail to take the makeup exam?,"If you do not attend the makeup exam, you will receive a score of 0.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
33,Exam Postponement,Does a postponed exam (HT) grade affect my GPA?,"No, the HT grade is not calculated into your academic grade point average.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
34,Degree Verification,What documents are needed for degree verification?,"You need the verification request form, university degree extract, transcript copies, and translated versions if applicable.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/91
35,Degree Verification,Who provides the English translation of the degree?,The External Relations Office of the university is responsible for the translation.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/91
36,Degree Verification,Do I need a translation if my degree is already in English?,"No, if your degree and transcripts are already in English, a translated version is not required.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/91
37,Degree Verification,Will the university mail the verification documents abroad for me?,"The Academic Affairs Office will seal the envelope, but the alumni or relative must mail it to the foreign institution themselves.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/91
38,Tuition,Where can students pay their tuition fees?,Students must pay via the BKPay2 portal following the provided instructions.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
39,Tuition,Can I pay my tuition fee via standard bank transfer?,"No, paying tuition via standard bank transfer is not allowed.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
40,Tuition,When is the deadline to pay 100% of the main semester tuition?,The payment must be completed by the end of the 5th week of the semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
41,Tuition,When is tuition due for auditing semesters?,The tuition for auditing semesters must be paid during the first week of that semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
42,Tuition,Can students apply for tuition reduction or exemption?,"Regular students facing financial difficulties can apply for loans, exemptions, or reductions for main semesters at the Student Affairs Office.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
43,Tuition,Are there tuition exemptions for summer semesters?,"No, there are no exemption or reduction policies for summer and auditing semesters.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/67
44,Study Extension,Who is allowed to extend their studies by one main semester?,"International students and students with priority status in zones 01, group 1, and group 2 are allowed to extend.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/55
45,Study Extension,How long is the special extension for regular students?,The Principal may grant an extension of up to 1 main semester for regular students in special cases.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/55
46,Study Extension,How many times can a student receive a special study extension?,Each student can only be considered for a special extension no more than once.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/55
47,Foreign Language,Where do students submit their foreign language certificates?,They submit it online at the MyBK portal under the Submit Foreign Language Certificate section.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
48,Foreign Language,Do I need to submit a hard copy of my language certificate to the office?,"No, you do not need to submit it directly; just provide a photo or scanned file online.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
49,Foreign Language,Which language certificates are verified automatically?,"TOEIC, IELTS, VNU-EPT, and national VSTEP certificates are verified automatically if procedures are followed correctly.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
50,Foreign Language,How do I submit a TOEFL iBT certificate?,You must bring a copy to the University's Foreign Language Center for confirmation before submitting it to the Academic Affairs Office.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
51,Foreign Language,What is the validity requirement for a language certificate upon submission?,The certificate must be valid for at least 1 month at the time of submission.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
52,Foreign Language,Why should I submit my foreign language certificate early?,"It is used to exempt English courses, meet graduation thesis conditions, and qualify for graduation.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
53,Foreign Language,How can I get exempted from English courses 1 to 4?,You must register for exemption after submitting your certificate and pay the fee via BKPay.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
54,Foreign Language,How long does it take to update the English course exemption?,The results are expected to be updated on your transcript after 1 month if the fee is paid.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
55,Foreign Language,Will I get a refund if my language certificate is invalid?,"No, the exemption fee will not be refunded if the verification result is invalid.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
56,Foreign Language,Can the VSTEP certificate exempt me from English classes?,"Yes, VSTEP can be used to exempt English 1, 2, 3, and 4 for cohorts 2020 and earlier, or 2021 and later.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
57,Foreign Language,What is the penalty for language certificate fraud?,Fraud will result in disciplinary actions such as forced suspension or expulsion.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
58,Foreign Language,When should I submit my language certificate for graduation?,You should submit it about 2 weeks before the deadline for registering and submitting graduation documents.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
59,Foreign Language,When does the school verify French TCF and DELF certificates?,The school only verifies French certificates at the end of each month due to limits set by the verifying university.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
60,Foreign Language,Who must take the initial English placement test?,The test is designed for newly admitted regular students from the 2021 cohort onwards.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
61,Foreign Language,What is the initial English placement test result used for?,It is used to grant a one-time exemption for corresponding English modules.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
62,Foreign Language,Do exempted English courses affect my GPA?,"No, exempted courses count towards accumulated credits but are not included in your grade point average.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
63,Foreign Language,Where can I register for on-demand English classes?,You can register at the MyBK portal by selecting the supplementary on-demand English classes option.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
64,Foreign Language,What is the passing grade for on-demand English classes?,"Starting from semester HK241, the passing grade for on-demand English courses is 5.5.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
65,Foreign Language,Do on-demand English classes give academic credits?,"They have 0 credits and do not affect the semester GPA, but count towards minimum registered credits.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
66,Foreign Language,How is the tuition for on-demand English classes calculated?,The tuition is calculated based on the auditing course tuition rate.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
67,Foreign Language,Which English course does a VSTEP 4.0 certificate exempt?,A VSTEP 4.0 score will exempt you from the English 1 course.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
68,Foreign Language,Which English courses does a VSTEP 5.5 exempt?,"A VSTEP 5.5 score exempts you from English 1, 2, 3, and 4.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
69,Foreign Language,Which courses does a VNU-EPT score of 250 exempt?,"A score of 250 exempts you from English 1, 2, 3, and 4.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
70,Foreign Language,Can I use the TOEFL iBT Home Edition?,"No, it is not used for English course exemptions or for graduation assessment.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
71,Registration,Who should I consult for free elective courses?,You should consult with your Academic Advisor or the Faculty Management Board.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
72,Registration,What is the maximum number of credits I can register for in Phase 1?,You can register for a maximum of 25 credits during Phase 1.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
73,Registration,Should I register for classes if I have already completed my program?,"You do not need to, but if you do to maintain student status, you must withdraw and pay tuition.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
74,Registration,Where do I register for an off-campus internship for semester 251?,You must register directly at your Faculty.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
75,Registration,Can I register if the system shows a red warning for missing conditions?,"Yes, the system allows registration despite the warning, but the office will verify conditions later.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
76,Registration,Can a 2019 student take auditing courses without main semester courses?,"No, regular students from the 2019 cohort without a main semester timetable cannot register for auditing courses.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
77,Registration,What actions can students take during Phase 2 registration?,"Students can check their preliminary timetable, add courses, adjust groups, or request to open new classes.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
78,Registration,What happens to classes with low enrollment in Phase 2?,"Classes will likely be canceled if they lack sufficient enrollment, and groups will not be merged.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
79,Registration,Who do I contact to request a new class opening?,You should directly contact the teaching staff or your Faculty.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
80,Registration,When does the Faculty send class opening requests to the Academic Office?,"They compile and send information from December 9, 2025, to 15:00 on December 15, 2025.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
81,Registration,Where should I check my official timetable?,"You must check the official timetable on the MyBK app, not on the course registration tool.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
82,Registration,What is permitted during Phase 3 of registration?,"You can only add courses that still have open seats, and you cannot cancel or change groups.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
83,Registration,What if I want to drop a class after Phase 3?,"You must follow the course withdrawal process, which still charges tuition fees, via the MyBK portal.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
84,Registration,Where can I find the reasons for canceled registrations?,You can check the cancellation codes and definitions in the Cancellation Codes and Reasons Table on MyBK.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
85,Exam Schedule,What should I do if my midterm exam has no scheduled date?,You should contact the teaching instructor directly to learn about the exam format and details.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
86,Course Withdrawal,What is the main condition for withdrawing from a course?,You must commit that you will still meet the minimum required credits for the semester after withdrawing.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
87,Course Withdrawal,Do I still have to pay tuition for a withdrawn course?,"Yes, you must pay full tuition for courses even if you receive an R grade.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
88,Course Withdrawal,What grade will I get for a withdrawn course?,"You will receive an R grade, also known as a 17.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
89,Course Withdrawal,Does an R grade affect my transcript?,"Withdrawn courses will not be calculated into your academic transcript, but tuition is still charged.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
90,Course Withdrawal,When can I register to withdraw from a course?,The registration period follows the schedule announced via BKel/LMS messages at the beginning of the semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
91,Course Withdrawal,Who updates the R grade for withdrawn courses?,"The Academic Affairs Office will extract data, verify conditions, and update the R/17 grade.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/56
92,Dual Degree,How do I start the process for a second degree?,You should first seek counseling regarding the dual degree program from the Dean managing the second major.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/53
93,Dual Degree,When do I submit the application for the second major?,You submit the application at the Academic Affairs Office after completing the graduation module of your first major.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/53
94,Grading,How do I register for an equivalent replacement course starting HK251?,"You must register and get Faculty approval before studying, then the Faculty will send an official letter to the Academic Office.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
95,Grading,How are credits calculated for replacement courses?,Credits and GPA are accumulated based on the credits of the approved equivalent or replacement course.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
96,Grading,Why is my cumulative GPA not updated on the portal?,"Because recent semester grades might not be fully updated, but you can print a transcript to see the current calculation.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
97,Grading,Where do I complain about missing grades for graduation assessment?,You can submit your inquiry or complaint at the BKSI portal under the Course Registration section.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
98,Grading,Can I take the final exam if one of my component scores is 0?,"No, you will be banned from the exam if any component score is 0.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
99,Grading,What happens if my lab score is below 4.0?,You will be banned from taking the exam if a course with a lab component has a score below 4.0.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
100,Grading,What is the passing grade for graduation modules?,Graduation modules are only graded as PASS if the evaluation score is level C (5.5 out of 10) or higher.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
101,Grading,How can a lecturer correct a mistakenly entered grade?,"They must submit an adjustment request form, unlock the system to edit, and then print and sign the new transcript.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
102,Grading,What does grade improvement mean?,It means registering to retake a course you have already passed to achieve a higher score.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
103,Grading,Which score is kept when I retake a class for grade improvement?,The highest score among the attempts will be used to calculate your cumulative grade point average.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
104,Grading,What transcripts will I receive upon graduation?,"You will receive two: one detailing all courses taken, and an appendix showing only your highest scores.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
105,Grading,How are elective grades calculated if I take extra classes?,The system will select the courses that meet the credit requirement while maximizing your cumulative GPA.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
106,Grading,How is the semester GPA rounded?,Both the semester GPA and cumulative GPA are rounded to one decimal place.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
107,Degree Info,Where do I register my high school degree information?,You can register your degree information at the MyBK portal under Student Services.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/86
108,Degree Info,What should I do if I lost my high school diploma?,You must contact your local Department of Education and Training to request a reissue.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/86
109,Degree Info,What if my high school diploma copy has no serial number?,"You can look it up online, handwrite it on the copy, take a photo, and re-register the information.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/86
110,Regulations,What happens if I fail to register the minimum required credits?,Students who do not register the minimum required credits will be suspended from studying for 1 semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
111,Regulations,What is the penalty for having no timetable during a semester?,You will be subject to a decision to remove your name for lacking a timetable.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
112,Regulations,Where can I apply for a temporary study suspension?,You must fill out and submit the school's official Google form for temporary suspension.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
113,Regulations,What happens if I suspend my studies for more than 2 consecutive semesters?,You will be forced to drop out or have your name removed from the university.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
114,Regulations,What are the conditions for a student certificate for military deferment?,You must be a regular student studying within the standard prescribed training time.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
115,Regulations,Can I register my graduation thesis late?,"Late registration is allowed up to 2 weeks after main semesters start, but is not applicable for the summer semester.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
116,Physical Edu,Where do standard program students take Physical Education?,Group L students study at Campus 2 or the VNU-HCM Sports Center.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
117,Physical Edu,What is the extra fee for swimming classes?,"It is 17,000 VND per session at Campus 1, and 10,000 VND per session at Campus 2.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
118,Physical Edu,Where is the Bowling course held?,It is held at the Student Cultural House in the VNU-HCM urban area.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
119,Physical Edu,How many modules are needed to pass the Physical Education standard?,"Students must pass 2 modules, consisting of one module 1 course and one module 2 course.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
120,Physical Edu,How is the tuition fee calculated for retaking physical education?,It is calculated based on the VNU-HCM Sports Center's unit price or equivalent to 1.5 credits of the latest mass cohort.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
121,Defense Edu,When do first-year students study National Defense Education?,The Academic Office automatically schedules it for the second semester for an intensive 4-week period.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
122,Admin,Can I register for the next semester if I have unpaid tuition?,"No, you must complete your tuition payments to be unblocked for the next registration period.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
123,Admin,What must students on academic warning do before registering?,They are required to meet with their Homeroom Teacher or Academic Advisor for counseling.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
124,Standards,How many credits does a Level 5 Viet-Phap student need?,They need to achieve an accumulated credit count of 112 or more.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
125,Standards,What is the French graduation requirement?,"You need a Level 4 (CEFR B2), which is equivalent to a DELF B2 or TCF B2 certificate.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
126,Standards,What is the social work requirement from cohort 2026?,A completion of 12 social work days is required for Level 4 and graduation thesis registration.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
127,Courses,Where can I find rules on Entrepreneurship courses?,You can find the updated rules in the Conclusions of the Academic Council meeting HK2/2024-2025 on the website.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
128,Registration,When is the off-campus internship period for phase 2 of HK252?,"It will take place during HK253, expected to begin on June 8, 2026.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
129,Registration,Can I register for Phase 2 auditing if I missed the standard deadlines?,You must wait for the university to update your conditions in the system for the next available registration phase.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
130,Exams,Who do I submit the exam postponement cancellation form to?,You submit the completed form to the Testing and Quality Assurance Office.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
131,Exams,How early should I apply to cancel my exam postponement?,You must submit the form at least 1 week before the scheduled exam you want to take.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/57
132,Discipline,What happens if my thesis language certificate is found to be incorrect later?,"Your graduation thesis will be canceled, and you will face disciplinary actions.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
133,Tuition,How is tuition calculated for students switching to work-and-study programs?,It is calculated using the semester package pricing of the newest work-and-study cohort.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
134,Grading,How many decimal places is the GPA rounded to?,Both the semester and cumulative GPAs are rounded to one decimal place.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/71
135,Regulations,How many times can expulsion be delayed?,"Starting from the 2021 cohort, students facing expulsion can only be considered for a delay once during their entire program.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
136,Regulations,When is the deadline to submit a temporary suspension request?,You must submit it within the first 4 weeks of the semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
137,Regulations,Can I get a student certificate while suspended?,"No, you will not be issued a Student Certificate during your temporary suspension period.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
138,Regulations,Can work-and-study students get a student certificate?,"Yes, they can get it for local authorities or defense education if they have an official main semester timetable.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
139,Physical Edu,Where is the Pickleball course held?,It is held at the VNU-HCM Sports Center.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
140,Physical Edu,What is the extra fee for the Tennis class?,"It has a surcharge of 7,000 VND per session at Campus 2.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/82
141,Registration,When will auditing timetables be canceled?,Auditing timetables are canceled for regular 2019 students who have no main semester timetable after Phase 3.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/111
142,Foreign Language,What is the speaking-writing score required for graduation?,"You need a minimum score equivalent to 200, or 245 for Talented and Viet-Phap engineering programs.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
143,Foreign Language,What is required for the first-year English standard?,You must pass Basic English 1 and 2 to register for English 1.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
144,Postgraduate,What is the condition for postgraduate course registration?,Students must meet the HV_SDH standard to register for Master's training program courses.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
145,Standards,When did the 2.0 GPA requirement for graduation modules begin?,The C_DTB standard requiring a GPA of 2.0 or higher applies to cohorts from 2021 onwards.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
146,Standards,What does the N4 French standard require for PFIEV?,It requires passing French courses from level 1 up to level 6.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
147,Dual Degree,How many credits does Ship-Aviation dual degree require for Specialized Projects?,They must accumulate at least 56% of their training program credits.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
148,Dual Degree,How many credits does Ship-Aviation dual degree require for Off-campus Internships?,They must accumulate at least 52% of their training program credits.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
149,Foreign Language,How much is the on-demand English class fee?,The fee is calculated based on the tuition rate for auditing classes.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/81
150,Support,What should I do if I cannot find an answer to my issue?,You can create a new question or request on the UVdesk system for the support team to assist you.,https://mybk.hcmut.edu.vn/bksi/public/vi/
